,Gas Longitude,Gas Latitude,Gas Stations
0,-108.67551598487225,37.21848989554922,fuel
1,-108.58960288488421,37.3488424955388,fuel
2,-108.53716468489151,37.46381209552963,fuel
3,-108.91180168483935,37.76536409550584,fuel
4,-108.9130120848392,37.765746295505814,fuel
5,-107.85873758498595,37.226794895548544,fuel
6,-107.86126098498559,37.22976989554832,fuel
7,-107.63337438501732,37.11696909555737,fuel
8,-107.60001048502194,37.23020249554827,fuel
9,-107.59418478502276,37.23295739554806,fuel
10,-107.5866745850238,37.23397389554798,fuel
11,-107.18345658507992,37.233288695548026,fuel
12,-107.07863018509455,37.25459059554631,fuel
13,-107.07781218509464,37.254727195546316,fuel
14,-107.07511648509501,37.25630059554619,fuel
15,-107.8840591849824,37.271005095545,fuel
16,-107.87759158498332,37.28199429554413,fuel
17,-107.8776059849833,37.283627495544,fuel
18,-108.03178438496188,37.688094495511905,fuel
19,-107.05247138509819,37.268415995545205,fuel
20,-107.01543548510332,37.26669989554535,fuel
21,-106.99773668510579,37.26915639554517,fuel
22,-106.99709578510588,37.26970449554512,fuel
23,-107.1946196850784,37.44976689553076,fuel
24,-106.92434268511602,37.84837489549935,fuel
25,-108.57048448488685,38.2175095954707,fuel
26,-108.97424938483067,38.68336309543522,fuel
27,-108.50087148489656,39.076986095405786,fuel
28,-107.67838778501105,38.03699349548466,fuel
29,-107.97780698496938,38.60497469544113,fuel
30,-107.89105908498142,38.489894295449865,fuel
31,-107.89087948498145,38.49113709544979,fuel
32,-107.89036968498152,38.49124419544977,fuel
33,-107.86466268498512,38.45414759545259,fuel
34,-107.86601528498494,38.46689369545161,fuel
35,-107.86584898498495,38.46704279545159,fuel
36,-107.86968728498442,38.471110495451285,fuel
37,-107.86800298498467,38.47038009545135,fuel
38,-107.87356038498389,38.481349195450534,fuel
39,-107.86969108498441,38.4842646954503,fuel
40,-107.86736448498473,38.48628949545014,fuel
41,-107.85498338498647,38.48878369544996,fuel
42,-107.89833058498041,38.49774559544927,fuel
43,-107.55721998502793,38.44322219545344,fuel
44,-106.93706938511423,38.54407849544575,fuel
45,-106.9344774851146,38.54419139544573,fuel
46,-106.93247628511487,38.54466549544572,fuel
47,-106.93172568511498,38.5446461954457,fuel
48,-106.92518878511589,38.54420629544575,fuel
49,-106.92634338511573,38.553760195445015,fuel
50,-106.92716448511563,38.55397989544502,fuel
51,-108.0659893849571,38.72720219543192,fuel
52,-108.0702567849565,38.736684595431186,fuel
53,-108.07142398495633,38.745671495430535,fuel
54,-108.07016218495652,38.74588779543051,fuel
55,-108.07110218495637,38.748204795430354,fuel
56,-108.05239368495899,38.752203295430036,fuel
57,-107.96620648497098,38.83677599542368,fuel
58,-108.138513084947,39.17543829539851,fuel
59,-108.20738918493738,39.32649849538741,fuel
60,-106.98117768510811,38.86771209542138,fuel
61,-106.98065358510817,38.873163095420956,fuel
62,-106.83941558512782,37.03530809556397,fuel
63,-106.00902178524342,37.07374199556086,fuel
64,-106.35639368519507,37.67911199551261,fuel
65,-106.11579018522856,37.56931919552128,fuel
66,-106.15040998522373,37.58082109552038,fuel
67,-106.14455398522456,37.58041399552041,fuel
68,-106.14074418522509,37.57972039552046,fuel
69,-105.90094798525845,37.4782243955285,fuel
70,-105.90511618525788,37.47998689552833,fuel
71,-105.88107288526123,37.469664995529186,fuel
72,-105.85763848526449,37.47249849552895,fuel
73,-105.85706018526459,37.47357049552887,fuel
74,-105.85677498526462,37.47336449552889,fuel
75,-106.1492714852239,37.74834409550718,fuel
76,-106.11185388522911,37.74840949550716,fuel
77,-106.10775178522968,37.74775279550721,fuel
78,-106.10434798523015,37.74812789550719,fuel
79,-105.87029618526273,37.65145199551479,fuel
80,-105.88001898526139,37.745683095507374,fuel
81,-105.54794088530761,37.69253029551155,fuel
82,-104.52023918545068,37.13378369555601,fuel
83,-104.51093348545196,37.16625169555341,fuel
84,-105.43194988532376,37.427027495532556,fuel
85,-105.01246458538213,37.499907295526754,fuel
86,-105.00928678538259,37.50942869552602,fuel
87,-104.77923458541461,37.61990659551727,fuel
88,-104.78076608541438,37.62276839551704,fuel
89,-104.79670378541218,37.96235069549044,fuel
90,-104.7944385854125,37.96124419549054,fuel
91,-104.79435818541252,37.96156239549049,fuel
92,-106.41631918518672,38.406548295456204,fuel
93,-106.14249708522483,38.087454095480744,fuel
94,-106.13975558522522,38.088896195480636,fuel
95,-105.70025958528637,37.994099695488,fuel
96,-106.07641108523404,38.51189799544819,fuel
97,-106.0795885852336,38.51979509544759,fuel
98,-105.68829438528807,38.37075049545897,fuel
99,-106.557988685167,38.82058889542489,fuel
100,-106.34835788519618,39.22378329539494,fuel
101,-106.29014188520428,39.24483259539341,fuel
102,-106.2907474852042,39.24637099539328,fuel
103,-106.29177778520406,39.260374695392244,fuel
104,-106.29202848520403,39.26083439539224,fuel
105,-106.09300918523174,38.678151695435616,fuel
106,-106.10710398522977,38.81201299542554,fuel
107,-106.10728678522975,38.812504695425496,fuel
108,-106.13872558522537,38.850829095422625,fuel
109,-105.79809928527278,39.021362895409915,fuel
110,-105.99373838524556,39.2161765953955,fuel
111,-105.99288618524568,39.221895395395094,fuel
112,-105.99159028524585,39.22529479539483,fuel
113,-105.21774038535357,38.44846549545302,fuel
114,-105.2060347853552,38.44714159545313,fuel
115,-104.81721298540931,38.322244395462675,fuel
116,-104.64335928543353,38.22701959546997,fuel
117,-104.62554408543602,38.21842969547063,fuel
118,-104.625625985436,38.219045895470586,fuel
119,-104.62537238543602,38.22488719547013,fuel
120,-104.66659258543028,38.23362059546948,fuel
121,-104.66196578543094,38.23268519546953,fuel
122,-104.6629581854308,38.24388659546867,fuel
123,-104.66268188543083,38.246835795468456,fuel
124,-104.64349338543352,38.2370568954692,fuel
125,-104.6435630854335,38.24426159546865,fuel
126,-104.63890948543416,38.24426579546864,fuel
127,-104.64375368543348,38.25837819546757,fuel
128,-104.62871978543556,38.26600429546699,fuel
129,-104.61574348543735,38.27036529546665,fuel
130,-104.59653078544002,38.27075069546663,fuel
131,-104.6213356854366,38.297878795464534,fuel
132,-104.59669168544002,38.28730439546534,fuel
133,-104.59560278544018,38.289706595465155,fuel
134,-104.63094328543527,38.309139695463664,fuel
135,-104.5868158854414,38.2709780954666,fuel
136,-104.57269668544336,38.27185199546653,fuel
137,-104.58502918544166,38.28706919546535,fuel
138,-104.57297298544333,38.28490439546553,fuel
139,-104.57432208544314,38.287885495465304,fuel
140,-104.49643868545398,38.27464909546631,fuel
141,-104.74488188541939,38.331965595461924,fuel
142,-104.74510448541935,38.332870295461845,fuel
143,-104.70244128542531,38.321493195462736,fuel
144,-104.70219178542533,38.321791995462696,fuel
145,-104.6995837854257,38.32541139546241,fuel
146,-105.33995928533656,38.96787879541391,fuel
147,-105.29197408534324,38.945632995415544,fuel
148,-105.28637528534404,38.94691899541545,fuel
149,-105.15674638536208,38.94163959541585,fuel
150,-105.15273538536262,38.944361695415644,fuel
151,-105.14745888536336,38.94755189541542,fuel
152,-104.80302178541129,38.756336395429706,fuel
153,-104.85873648540355,38.83903589542353,fuel
154,-104.81490118540962,38.77688229542818,fuel
155,-104.81434738540972,38.77640089542821,fuel
156,-104.7959313854123,38.7965534954267,fuel
157,-104.79485308541243,38.79664129542669,fuel
158,-104.79415038541254,38.796607895426696,fuel
159,-104.78966038541317,38.79515289542681,fuel
160,-104.76811848541617,38.79471029542683,fuel
161,-104.84138008540594,38.80847819542582,fuel
162,-104.8397550854062,38.82532549542455,fuel
163,-104.84027308540611,38.830617195424146,fuel
164,-104.78000878541451,38.81780829542512,fuel
165,-104.76589068541647,38.815349595425275,fuel
166,-104.77552528541513,38.84686239542293,fuel
167,-105.02971138537976,38.96313839541425,fuel
168,-105.05898788537569,38.993586195411964,fuel
169,-105.05836168537577,38.99337789541199,fuel
170,-105.04603988537747,38.984069395412675,fuel
171,-105.04943578537699,38.99295639541202,fuel
172,-104.84869698540494,38.84821639542281,fuel
173,-104.84622108540529,38.84772749542287,fuel
174,-104.83017878540753,38.851207095422616,fuel
175,-104.84881338540492,38.876389195420714,fuel
176,-104.82009078540891,38.872160895421025,fuel
177,-104.81561978540954,38.88988539541971,fuel
178,-104.77555688541513,38.854024595422395,fuel
179,-104.76712548541632,38.890875395419634,fuel
180,-104.8518995854045,38.89921919541903,fuel
181,-104.82842898540775,38.89647879541921,fuel
182,-104.8280802854078,38.89720949541917,fuel
183,-104.81136158541013,38.93176649541658,fuel
184,-104.78656728541358,38.91581989541778,fuel
185,-104.86522938540266,38.980292595412955,fuel
186,-104.8001767854117,38.94479749541561,fuel
187,-104.80356708541123,38.94925739541528,fuel
188,-104.86529338540264,39.36225779538479,fuel
189,-104.86529588540263,39.362576595384766,fuel
190,-104.86179848540313,39.36488929538461,fuel
191,-104.86095958540324,39.364139295384646,fuel
192,-104.86132658540319,39.36689899538445,fuel
193,-104.82723818540794,39.37466379538388,fuel
194,-104.7124556854239,38.67275629543603,fuel
195,-104.71199438542396,38.67255739543604,fuel
196,-104.70598088542482,38.67613399543576,fuel
197,-104.70200448542535,38.71524189543281,fuel
198,-104.73221748542116,38.73763989543111,fuel
199,-104.74316618541962,38.75161839543009,fuel
200,-104.74213898541976,38.75212669543004,fuel
201,-104.74166688541983,38.752507395429994,fuel
202,-104.69832078542586,38.71793639543261,fuel
203,-104.73892298542023,38.766899195428934,fuel
204,-104.73961788542012,38.7820418954278,fuel
205,-104.74242878541973,38.79720749542664,fuel
206,-104.75803388541757,38.806312795425974,fuel
207,-104.75810368541755,38.809962095425696,fuel
208,-104.72914068542158,38.8156032954253,fuel
209,-104.75785148541759,38.835489595423795,fuel
