STATE,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MD,0.00,0.00,0.00,0.00,0.00,3.00,3.00,4.00,5.00,7.00,10.00,12.00,22.00,27.00,27.00,30.00,25.00,26.00,26.00,27.00,29.00,25.00,26.00,24.00,24.00,26.00,24.00,26.00,40.00,43.00,55.00,73.00,88.00,116.00,141.00,159.00,176.00
ME,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,8.00,12.00,21.00,27.00,28.00,33.00,37.00,42.00,39.00,38.00,37.00,43.00,43.00,43.00,43.00,43.00,42.00,44.00,49.00,53.00,60.00,71.00,84.00,102.00,131.00,165.00,186.00,197.00
MI,0.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,4.00,6.00,12.00,24.00,36.00,60.00,71.00,79.00,77.00,71.00,69.00,76.00,78.00,84.00,91.00,94.00,96.00,104.00,111.00,131.00,160.00,195.00,256.00,316.00,379.00,452.00,510.00,577.00,605.00
MN,0.00,0.00,3.00,4.00,5.00,7.00,7.00,8.00,8.00,9.00,13.00,18.00,26.00,37.00,35.00,36.00,41.00,37.00,37.00,31.00,30.00,31.00,35.00,34.00,36.00,39.00,42.00,56.00,70.00,75.00,113.00,142.00,165.00,214.00,239.00,267.00,286.00
MO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,5.00,12.00,13.00,14.00,22.00,26.00,30.00,32.00,26.00,28.00,28.00,28.00,33.00,34.00,38.00,38.00,47.00,51.00,55.00,60.00,63.00,77.00,90.00,116.00,145.00,168.00,192.00,212.00
MS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,4.00,4.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,4.00,7.00,10.00,14.00,14.00,16.00,19.00,22.00,25.00
MT,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,7.00,10.00,12.00,13.00,16.00,20.00,24.00,24.00,25.00,26.00,28.00,24.00,22.00,21.00,22.00,26.00,31.00,31.00,31.00,35.00,41.00,49.00,62.00,74.00,79.00,98.00,108.00,121.00,128.00
NC,0.00,0.00,0.00,0.00,0.00,6.00,8.00,11.00,12.00,14.00,20.00,25.00,36.00,40.00,50.00,52.00,51.00,38.00,38.00,41.00,43.00,45.00,46.00,45.00,50.00,52.00,61.00,71.00,94.00,125.00,155.00,207.00,260.00,330.00,387.00,443.00,491.00
ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,4.00,6.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,7.00,8.00,10.00,11.00,15.00,22.00,26.00,29.00,31.00
NE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,6.00,8.00,8.00,9.00,8.00,9.00,9.00,11.00,10.00,12.00,12.00,16.00,16.00,17.00,16.00,17.00,16.00,18.00,20.00,25.00,35.00,39.00,47.00,53.00,60.00,67.00,73.00
NH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,9.00,14.00,18.00,19.00,19.00,19.00,19.00,17.00,17.00,16.00,16.00,14.00,14.00,15.00,16.00,17.00,19.00,21.00,25.00,35.00,46.00,63.00,73.00,88.00,106.00,125.00,135.00
NJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,7.00,20.00,23.00,27.00,28.00,24.00,22.00,20.00,22.00,21.00,21.00,21.00,21.00,20.00,22.00,24.00,31.00,29.00,37.00,49.00,71.00,96.00,123.00,146.00,175.00,186.00
